id,text
F01,"The onboarding wizard is confusing — I couldn't tell which step set up billing and which set up my first project."
F02,"App takes almost 8 seconds to load the dashboard on my connection. It feels sluggish every single morning."
F03,"Love the new dark mode, but the contrast on disabled buttons is too low to read."
F04,"Docs are great for the happy path but there's nothing on how to recover from a failed migration."
F05,"Pricing page doesn't explain what counts as an 'active seat' — got surprised by the invoice."
F06,"The CLI crashes with an unhelpful stack trace when the config file has a trailing comma."
F07,"Dashboard is painfully slow to load, especially the analytics tab with lots of charts."
F08,"Onboarding never told me I needed to verify my email before inviting teammates, so invites silently failed."
F09,"Would love an export-to-CSV button on the reports screen — copy/paste is error prone."
F10,"Setup took forever because the getting-started guide assumes you already have Docker installed."
F11,"Got double-charged this month and support took four days to reply."
F12,"The search box doesn't handle non-Latin characters; my queries in Japanese return nothing."
F13,"Please add keyboard shortcuts for switching projects — the mouse-only nav is slow for power users."
F14,"Billing emails go to my personal address with no way to change it to our finance team."
F15,"Charts on the analytics page take 5+ seconds to render and sometimes time out entirely."
F16,"The error messages are too generic — 'something went wrong' tells me nothing about what to fix."
F17,"First-run experience is rough: I had to read three doc pages before the app did anything useful."
F18,"Accessibility: the modal dialogs can't be closed with the Escape key, which breaks my workflow."
